Scotland's Census 2011 - National Records of Scotland,,,,,,,,,,,
Table CT_0210_2011 - Migration by age - 2001 Data Zones,,,,,,,,,,,
All people,,,,,,,,,,,
,,,,,,,,,,,
,,All people,Aged under 1,Lived at same address one year ago,Lived elsewhere one year ago; within the same Data Zone,Inflow,,,,Outflow (1),
,75 and over,79,0,77,0,0,0,2,0,2,0
S01001301,All people,549,5,529,0,11,1,3,0,13,8
,0 to 15,98,5,90,0,2,0,1,0,1,2
,16 to 19,37,0,36,0,0,1,0,0,1,3
,20 to 24,39,0,35,0,4,0,0,0,5,1
,25 to 34,46,0,45,0,0,0,1,0,2,0
,35 to 49,120,0,115,0,4,0,1,0,4,2
,50 to 64,104,0,103,0,1,0,0,0,0,0
,65 to 74,62,0,62,0,0,0,0,0,0,0
,75 and over,43,0,43,0,0,0,0,0,0,0
S01001302,All people,788,4,743,0,36,4,1,0,25,15
,0 to 15,119,4,107,0,8,0,0,0,5,0
,16 to 19,34,0,34,0,0,0,0,0,1,5
,20 to 24,31,0,29,0,1,1,0,0,3,1
,25 to 34,60,0,49,0,9,1,1,0,3,1
,35 to 49,180,0,171,0,7,2,0,0,7,1
,50 to 64,199,0,196,0,3,0,0,0,0,2
,65 to 74,71,0,70,0,1,0,0,0,2,3
,75 and over,94,0,87,0,7,0,0,0,4,2
S01001303,All people,615,11,560,2,31,11,0,0,27,16
,0 to 15,122,11,102,0,6,3,0,0,6,6
,16 to 19,26,0,23,0,3,0,0,0,0,3
,20 to 24,32,0,25,1,4,2,0,0,5,0
,25 to 34,92,0,78,1,11,2,0,0,7,6
,35 to 49,117,0,108,0,5,4,0,0,4,1
,50 to 64,131,0,129,0,2,0,0,0,3,0
,65 to 74,65,0,65,0,0,0,0,0,1,0
,75 and over,30,0,30,0,0,0,0,0,1,0
S01001304,All people,"1,325",8,"1,191",15,37,62,6,6,27,38
,0 to 15,238,8,203,6,8,11,1,1,7,6
,16 to 19,73,0,66,1,1,5,0,0,3,9
,20 to 24,60,0,49,0,5,5,0,1,3,5
,25 to 34,139,0,107,4,8,18,1,1,7,3
,35 to 49,351,0,318,3,9,18,2,1,6,9
,50 to 64,304,0,289,1,6,5,1,2,1,5
,65 to 74,107,0,106,0,0,0,1,0,0,1
,75 and over,53,0,53,0,0,0,0,0,0,0
S01001305,All people,737,11,678,7,25,13,3,0,12,31
,0 to 15,115,11,96,3,4,0,1,0,2,6
,16 to 19,36,0,33,0,2,1,0,0,3,8
,20 to 24,37,0,31,1,5,0,0,0,2,3
,25 to 34,89,0,70,1,8,9,1,0,0,5
,35 to 49,174,0,167,0,5,1,1,0,4,6
,50 to 64,159,0,154,2,1,2,0,0,0,1
,65 to 74,59,0,59,0,0,0,0,0,0,0
,75 and over,68,0,68,0,0,0,0,0,1,2
S01001306,All people,711,13,647,2,34,9,6,0,19,12
,0 to 15,135,13,113,0,8,1,0,0,3,1
,16 to 19,42,0,40,0,2,0,0,0,0,2
,20 to 24,55,0,46,0,7,2,0,0,2,4
,25 to 34,90,0,81,1,7,1,0,0,6,1
,35 to 49,134,0,121,0,7,2,4,0,3,1
,50 to 64,132,0,125,1,2,2,2,0,5,2
,65 to 74,68,0,67,0,0,1,0,0,0,0
,75 and over,55,0,54,0,1,0,0,0,0,1
S01001307,All people,"1,158",18,"1,049",14,54,18,4,1,43,7
,0 to 15,198,18,150,3,19,8,0,0,9,1
,16 to 19,58,0,53,1,3,1,0,0,5,0
,20 to 24,67,0,59,2,2,3,1,0,8,4
,25 to 34,148,0,131,3,10,3,1,0,6,1
,35 to 49,251,0,232,4,11,3,1,0,8,0
,50 to 64,249,0,244,0,3,0,1,1,5,0
,65 to 74,103,0,102,0,1,0,0,0,0,0
,75 and over,84,0,78,1,5,0,0,0,2,1
S01001308,All people,932,13,862,10,37,5,3,2,45,22
,0 to 15,156,13,130,2,10,1,0,0,11,2
,16 to 19,51,0,48,0,3,0,0,0,1,5
,20 to 24,66,0,58,2,6,0,0,0,8,4
,25 to 34,96,0,88,2,5,0,1,0,5,2
,35 to 49,200,0,189,1,8,2,0,0,7,3
,50 to 64,188,0,178,2,3,1,2,2,9,0
,65 to 74,89,0,86,1,2,0,0,0,3,0
,75 and over,86,0,85,0,0,1,0,0,1,6
S01001309,All people,644,6,576,3,26,25,8,0,59,8
,0 to 15,117,6,85,2,7,14,3,0,22,0
,16 to 19,31,0,30,0,1,0,0,0,3,0
,20 to 24,43,0,38,1,3,0,1,0,9,3
,25 to 34,82,0,69,0,7,4,2,0,10,0
,35 to 49,152,0,141,0,4,5,2,0,8,5
,50 to 64,121,0,117,0,4,0,0,0,4,0
,65 to 74,53,0,53,0,0,0,0,0,3,0
,75 and over,45,0,43,0,0,2,0,0,0,0
S01001310,All people,795,9,727,15,33,5,5,1,50,7
,0 to 15,146,9,122,6,8,0,1,0,15,1
,16 to 19,45,0,41,2,0,2,0,0,4,1
,20 to 24,43,0,36,2,4,0,1,0,1,1
,25 to 34,72,0,60,3,9,0,0,0,13,2
,35 to 49,158,0,146,1,6,2,2,1,9,2
,50 to 64,165,0,160,1,3,0,1,0,6,0
,65 to 74,84,0,82,0,1,1,0,0,0,0
,75 and over,82,0,80,0,2,0,0,0,2,0
S01001311,All people,639,14,568,8,40,6,3,0,30,9
,0 to 15,125,14,96,3,12,0,0,0,9,0
,16 to 19,32,0,27,1,4,0,0,0,3,1
,20 to 24,46,0,35,2,9,0,0,0,2,2
,25 to 34,73,0,63,0,7,2,1,0,10,3
,35 to 49,143,0,137,2,4,0,0,0,5,2
,50 to 64,121,0,113,0,4,2,2,0,0,0
,65 to 74,68,0,68,0,0,0,0,0,0,1
,75 and over,31,0,29,0,0,2,0,0,1,0
S01001312,All people,730,2,647,17,40,13,11,0,63,16
,0 to 15,117,2,99,5,6,1,4,0,11,4
,16 to 19,50,0,45,2,3,0,0,0,5,3
,20 to 24,62,0,41,6,9,4,2,0,10,1
,25 to 34,74,0,60,1,7,3,3,0,12,3
,35 to 49,166,0,154,1,8,3,0,0,16,2
,50 to 64,134,0,127,0,4,2,1,0,8,2
,65 to 74,81,0,79,0,2,0,0,0,1,1
,75 and over,46,0,42,2,1,0,1,0,0,0
S01001313,All people,867,9,790,8,37,19,2,2,50,25
,0 to 15,125,9,107,1,7,1,0,0,10,3
,16 to 19,44,0,38,2,1,1,2,0,3,4
,20 to 24,56,0,42,0,10,4,0,0,7,4
,25 to 34,83,0,66,0,11,4,0,2,9,5
,35 to 49,210,0,196,2,5,7,0,0,11,7
,50 to 64,186,0,180,1,3,2,0,0,4,2
,65 to 74,98,0,97,1,0,0,0,0,1,0
,75 and over,65,0,64,1,0,0,0,0,5,0
S01001314,All people,738,6,690,1,28,11,0,2,15,15
,0 to 15,104,6,89,0,4,5,0,0,2,0
,16 to 19,33,0,30,0,2,1,0,0,2,3
,20 to 24,38,0,32,0,6,0,0,0,5,3
,25 to 34,66,0,59,0,4,1,0,2,3,5
,35 to 49,164,0,156,1,4,3,0,0,1,0
,50 to 64,179,0,175,0,3,1,0,0,1,2
,65 to 74,87,0,83,0,4,0,0,0,0,2
,75 and over,67,0,66,0,1,0,0,0,1,0
S01001315,All people,"1,036",13,961,8,33,18,1,2,30,21
,0 to 15,168,13,144,2,6,3,0,0,7,1
,16 to 19,49,0,47,0,1,1,0,0,0,6
,20 to 24,56,0,45,2,5,3,1,0,2,5
,25 to 34,89,0,73,1,8,6,0,1,8,2
,35 to 49,222,0,216,0,3,2,0,1,4,4
,50 to 64,229,0,224,2,2,1,0,0,5,3
,65 to 74,119,0,114,0,4,1,0,0,4,0
,75 and over,104,0,98,1,4,1,0,0,0,0
S01001316,All people,883,9,811,21,22,18,1,1,40,14
,0 to 15,151,9,127,8,2,5,0,0,9,1
,16 to 19,41,0,39,2,0,0,0,0,5,3
,20 to 24,56,0,49,2,4,0,0,1,4,3
,25 to 34,117,0,95,7,8,7,0,0,5,3
,35 to 49,170,0,159,0,6,4,1,0,12,4
,50 to 64,190,0,184,2,2,2,0,0,4,0
,65 to 74,116,0,116,0,0,0,0,0,0,0
,75 and over,42,0,42,0,0,0,0,0,1,0
S01001317,All people,916,10,852,9,34,9,0,2,32,15
,0 to 15,155,10,128,4,11,2,0,0,4,2
,16 to 19,50,0,46,1,1,2,0,0,1,3
,20 to 24,67,0,57,0,8,1,0,1,13,5
,25 to 34,84,0,77,0,7,0,0,0,7,3
,35 to 49,203,0,194,4,4,0,0,1,5,1
,50 to 64,204,0,199,0,2,3,0,0,0,1
,65 to 74,77,0,76,0,0,1,0,0,1,0
,75 and over,76,0,75,0,1,0,0,0,1,0
S01001318,All people,542,5,476,2,36,14,3,6,16,17
,0 to 15,80,5,65,0,4,2,0,4,1,0
,16 to 19,26,0,22,0,3,1,0,0,1,6
,20 to 24,31,0,19,2,10,0,0,0,7,5
,25 to 34,51,0,39,0,8,4,0,0,5,0
,35 to 49,112,0,101,0,5,3,1,2,1,5
,50 to 64,108,0,101,0,5,2,0,0,0,1
,65 to 74,74,0,70,0,1,1,2,0,1,0
,75 and over,60,0,59,0,0,1,0,0,0,0
S01001319,All people,645,7,583,9,30,13,3,0,18,22
,0 to 15,82,7,68,0,6,1,0,0,2,7
,16 to 19,25,0,21,0,2,2,0,0,2,1
,20 to 24,32,0,27,0,5,0,0,0,0,5
,25 to 34,52,0,44,1,4,3,0,0,2,6
,35 to 49,132,0,114,4,7,7,0,0,3,3
,50 to 64,163,0,153,4,3,0,3,0,5,0
,65 to 74,75,0,72,0,3,0,0,0,0,0
,75 and over,84,0,84,0,0,0,0,0,4,0
S01001320,All people,867,15,784,11,33,9,5,10,42,8
,0 to 15,166,15,137,3,4,0,1,6,14,1
,16 to 19,51,0,45,1,4,0,1,0,2,4
,20 to 24,52,0,45,2,3,2,0,0,10,1
,25 to 34,91,0,77,0,8,5,0,1,8,0
,35 to 49,194,0,178,3,6,2,2,3,5,2
,50 to 64,162,0,156,1,4,0,1,0,3,0
,65 to 74,85,0,83,1,1,0,0,0,0,0
,75 and over,66,0,63,0,3,0,0,0,0,0
S01001321,All people,578,3,540,2,20,12,1,0,22,10
,0 to 15,97,3,91,0,3,0,0,0,3,1
,16 to 19,32,0,30,0,2,0,0,0,3,1
,20 to 24,27,0,23,0,3,1,0,0,2,2
,25 to 34,49,0,44,0,2,3,0,0,5,2
,35 to 49,138,0,128,0,4,5,1,0,4,3
,50 to 64,134,0,126,2,4,2,0,0,4,0
,65 to 74,49,0,46,0,2,1,0,0,0,0
,75 and over,52,0,52,0,0,0,0,0,1,1
S01001322,All people,849,3,779,8,31,24,4,0,35,24
,0 to 15,152,3,135,2,7,5,0,0,6,3
,16 to 19,66,0,59,1,3,3,0,0,4,4
,20 to 24,52,0,48,1,3,0,0,0,4,5
,25 to 34,50,0,42,2,3,2,1,0,7,0
,35 to 49,193,0,174,1,10,8,0,0,5,7
,50 to 64,195,0,185,1,4,3,2,0,4,3
,65 to 74,100,0,95,0,1,3,1,0,4,2
,75 and over,41,0,41,0,0,0,0,0,1,0
S01001323,All people,597,10,523,15,34,10,5,0,43,9
,0 to 15,154,10,120,6,13,5,0,0,14,1
,16 to 19,35,0,29,2,3,1,0,0,3,1
,20 to 24,35,0,25,0,5,2,3,0,5,1
,25 to 34,74,0,63,4,5,1,1,0,9,3
,35 to 49,155,0,145,3,5,1,1,0,10,2
,50 to 64,84,0,81,0,3,0,0,0,2,1
,65 to 74,35,0,35,0,0,0,0,0,0,0
,75 and over,25,0,25,0,0,0,0,0,0,0
S01001324,All people,"1,003",16,832,26,83,40,4,2,75,36
,0 to 15,301,16,233,9,22,18,3,0,23,18
,16 to 19,59,0,45,2,11,1,0,0,10,3
,20 to 24,83,0,63,5,11,3,0,1,11,2
,25 to 34,137,0,108,4,15,9,1,0,12,6
,35 to 49,196,0,173,3,15,4,0,1,12,3
,50 to 64,133,0,117,3,8,5,0,0,6,4
,65 to 74,60,0,59,0,1,0,0,0,1,0
,75 and over,34,0,34,0,0,0,0,0,0,0
S01001325,All people,738,14,662,4,41,13,3,1,47,19
,0 to 15,197,14,169,2,11,1,0,0,14,8
,16 to 19,59,0,51,0,6,2,0,0,9,1
,20 to 24,53,0,43,2,4,3,1,0,6,4
,25 to 34,88,0,76,0,8,3,1,0,5,4
,35 to 49,152,0,138,0,9,4,1,0,8,2
,50 to 64,121,0,118,0,3,0,0,0,4,0
,65 to 74,43,0,42,0,0,0,0,1,0,0
,75 and over,25,0,25,0,0,0,0,0,1,0
S01001326,All people,869,9,817,0,39,2,1,1,56,14
,0 to 15,128,9,105,0,14,0,0,0,16,1
,16 to 19,39,0,37,0,2,0,0,0,1,3
,20 to 24,49,0,46,0,2,1,0,0,8,3
,25 to 34,108,0,99,0,8,1,0,0,13,1
,35 to 49,161,0,157,0,4,0,0,0,10,5
,50 to 64,187,0,179,0,6,0,1,1,3,0
,65 to 74,70,0,69,0,1,0,0,0,1,0
,75 and over,127,0,125,0,2,0,0,0,4,1
S01001327,All people,791,6,720,2,37,19,6,1,62,14
,0 to 15,148,6,122,0,8,9,3,0,15,2
,16 to 19,46,0,40,0,4,2,0,0,5,0
,20 to 24,52,0,46,0,4,0,1,1,3,3
,25 to 34,95,0,81,0,8,4,2,0,18,2
,35 to 49,151,0,136,2,9,4,0,0,11,6
,50 to 64,141,0,138,0,3,0,0,0,7,0
,65 to 74,84,0,83,0,1,0,0,0,0,0
,75 and over,74,0,74,0,0,0,0,0,3,1
S01001328,All people,878,11,824,0,30,9,3,1,51,8
,0 to 15,222,11,196,0,11,3,1,0,18,1
,16 to 19,50,0,48,0,2,0,0,0,7,0
,20 to 24,52,0,46,0,5,1,0,0,7,2
,25 to 34,100,0,88,0,7,4,0,1,7,4
,35 to 49,172,0,165,0,5,0,2,0,9,1
,50 to 64,155,0,154,0,0,1,0,0,2,0
,65 to 74,60,0,60,0,0,0,0,0,0,0
,75 and over,67,0,67,0,0,0,0,0,1,0
S01001329,All people,576,7,530,0,35,3,0,1,44,2
,0 to 15,120,7,106,0,6,1,0,0,15,0
,16 to 19,29,0,26,0,2,1,0,0,4,1
,20 to 24,33,0,27,0,6,0,0,0,11,0
,25 to 34,70,0,57,0,13,0,0,0,6,1
,35 to 49,120,0,117,0,2,1,0,0,7,0
,50 to 64,109,0,103,0,5,0,0,1,1,0
,65 to 74,53,0,53,0,0,0,0,0,0,0
,75 and over,42,0,41,0,1,0,0,0,0,0
S01001330,All people,816,7,789,1,14,2,0,3,41,14
,0 to 15,92,7,85,0,0,0,0,0,7,2
,16 to 19,34,0,34,0,0,0,0,0,2,1
,20 to 24,54,0,51,0,3,0,0,0,11,0
,25 to 34,67,0,60,1,5,1,0,0,16,8
,35 to 49,164,0,159,0,2,1,0,2,1,1
,50 to 64,252,0,248,0,3,0,0,1,4,2
,65 to 74,107,0,106,0,1,0,0,0,0,0
,75 and over,46,0,46,0,0,0,0,0,0,0
S01001331,All people,840,19,782,0,30,5,3,1,45,5
,0 to 15,140,19,116,0,5,0,0,0,11,0
,16 to 19,31,0,30,0,1,0,0,0,2,1
,20 to 24,52,0,41,0,11,0,0,0,9,0
,25 to 34,116,0,105,0,5,4,2,0,15,3
,35 to 49,156,0,149,0,5,1,0,1,6,1
,50 to 64,165,0,161,0,3,0,1,0,0,0
,65 to 74,70,0,70,0,0,0,0,0,1,0
,75 and over,110,0,110,0,0,0,0,0,1,0
S01001332,All people,874,12,799,2,52,5,1,3,33,7
,0 to 15,167,12,139,1,15,0,0,0,5,0
,16 to 19,34,0,27,1,6,0,0,0,2,1
,20 to 24,45,0,36,0,6,3,0,0,8,1
,25 to 34,135,0,120,0,11,1,1,2,9,3
,35 to 49,179,0,171,0,8,0,0,0,3,2
,50 to 64,159,0,155,0,2,1,0,1,5,0
,65 to 74,73,0,70,0,3,0,0,0,0,0
,75 and over,82,0,81,0,1,0,0,0,1,0
S01001333,All people,807,6,724,0,66,9,0,2,28,21
,0 to 15,108,6,90,0,11,1,0,0,5,4
,16 to 19,32,0,29,0,3,0,0,0,3,1
,20 to 24,47,0,36,0,9,2,0,0,4,4
,25 to 34,110,0,92,0,16,2,0,0,6,4
,35 to 49,195,0,182,0,11,2,0,0,4,3
,50 to 64,140,0,132,0,5,1,0,2,2,1
,65 to 74,86,0,82,0,3,1,0,0,2,3
,75 and over,89,0,81,0,8,0,0,0,2,1
S01001334,All people,833,13,765,8,29,9,6,3,47,18
,0 to 15,197,13,168,2,9,3,2,0,8,6
,16 to 19,50,0,45,3,1,0,1,0,7,1
,20 to 24,75,0,59,1,10,4,0,1,10,2
,25 to 34,123,0,114,1,6,0,1,1,11,5
,35 to 49,170,0,163,1,3,2,0,1,8,4
,50 to 64,138,0,136,0,0,0,2,0,2,0
,65 to 74,50,0,50,0,0,0,0,0,0,0
,75 and over,30,0,30,0,0,0,0,0,1,0
S01001335,All people,927,8,856,11,50,2,0,0,53,15
,0 to 15,131,8,109,7,7,0,0,0,8,4
,16 to 19,43,0,40,0,3,0,0,0,6,1
,20 to 24,57,0,49,0,8,0,0,0,12,1
,25 to 34,122,0,105,4,12,1,0,0,5,6
,35 to 49,182,0,171,0,10,1,0,0,11,2
,50 to 64,193,0,183,0,10,0,0,0,5,1
,65 to 74,62,0,62,0,0,0,0,0,1,0
,75 and over,137,0,137,0,0,0,0,0,5,0
S01001336,All people,828,8,783,4,27,5,0,1,36,7
,0 to 15,123,8,106,2,6,1,0,0,15,1
,16 to 19,44,0,43,0,1,0,0,0,3,2
,20 to 24,51,0,45,0,6,0,0,0,3,0
,25 to 34,93,0,83,2,5,2,0,1,5,0
,35 to 49,168,0,161,0,5,2,0,0,7,4
,50 to 64,174,0,172,0,2,0,0,0,2,0
,65 to 74,70,0,70,0,0,0,0,0,0,0
,75 and over,105,0,103,0,2,0,0,0,1,0
S01001337,All people,760,6,655,9,69,13,5,3,29,14
,0 to 15,130,6,98,2,21,2,1,0,3,1
,16 to 19,45,0,40,1,4,0,0,0,5,3
,20 to 24,36,0,32,1,1,2,0,0,5,2
,25 to 34,59,0,37,1,13,7,0,1,8,1
,35 to 49,184,0,154,3,20,2,3,2,3,4
,50 to 64,175,0,164,1,10,0,0,0,2,0
,65 to 74,98,0,97,0,0,0,1,0,1,2
,75 and over,33,0,33,0,0,0,0,0,2,1
S01001338,All people,728,7,659,5,30,20,3,4,43,8
,0 to 15,142,7,125,0,6,4,0,0,7,0
,16 to 19,45,0,40,0,4,1,0,0,8,3
,20 to 24,45,0,37,0,3,5,0,0,7,3
,25 to 34,100,0,82,4,6,5,1,2,10,1
,35 to 49,157,0,143,1,9,2,0,2,7,0
,50 to 64,149,0,143,0,2,2,2,0,3,1
,65 to 74,57,0,57,0,0,0,0,0,1,0
,75 and over,33,0,32,0,0,1,0,0,0,0
S01001339,All people,755,6,700,0,40,5,2,2,36,13
,0 to 15,136,6,116,0,14,0,0,0,13,4
,16 to 19,48,0,43,0,4,1,0,0,3,0
,20 to 24,44,0,38,0,1,3,1,1,3,4
,25 to 34,70,0,57,0,12,0,1,0,8,4
,35 to 49,197,0,189,0,6,1,0,1,5,1
,50 to 64,130,0,127,0,3,0,0,0,1,0
,65 to 74,72,0,72,0,0,0,0,0,0,0
,75 and over,58,0,58,0,0,0,0,0,3,0
S01001340,All people,745,10,680,13,35,6,0,1,42,7
,0 to 15,168,10,148,5,4,1,0,0,15,1
,16 to 19,49,0,41,1,7,0,0,0,4,0
,20 to 24,56,0,46,2,7,1,0,0,12,3
,25 to 34,99,0,83,5,10,1,0,0,2,0
,35 to 49,155,0,150,0,3,2,0,0,6,3
,50 to 64,109,0,104,0,3,1,0,1,1,0
,65 to 74,65,0,64,0,1,0,0,0,0,0
,75 and over,44,0,44,0,0,0,0,0,2,0
S01001341,All people,883,19,790,8,53,11,2,0,55,18
,0 to 15,143,19,118,0,5,1,0,0,12,3
,16 to 19,44,0,37,0,6,1,0,0,3,2
,20 to 24,68,0,54,2,8,4,0,0,9,1
,25 to 34,105,0,100,1,3,1,0,0,15,2
,35 to 49,177,0,162,3,9,3,0,0,6,8
,50 to 64,174,0,165,0,7,0,2,0,3,0
,65 to 74,61,0,60,0,1,0,0,0,4,1
,75 and over,111,0,94,2,14,1,0,0,3,1
S01001342,All people,928,7,845,4,56,7,2,7,33,6
,0 to 15,133,7,107,2,14,1,0,2,2,0
,16 to 19,42,0,37,0,4,1,0,0,1,0
,20 to 24,46,0,40,0,5,0,1,0,11,2
,25 to 34,100,0,79,1,16,1,1,2,8,0
,35 to 49,188,0,176,1,7,1,0,3,4,4
,50 to 64,197,0,191,0,4,2,0,0,4,0
,65 to 74,129,0,125,0,4,0,0,0,0,0
,75 and over,93,0,90,0,2,1,0,0,3,0
S01001343,All people,938,7,858,2,55,9,5,2,60,8
,0 to 15,175,7,145,0,20,2,1,0,8,1
,16 to 19,65,0,64,0,0,0,1,0,6,1
,20 to 24,56,0,52,1,1,2,0,0,9,0
,25 to 34,104,0,83,1,14,2,2,2,11,4
,35 to 49,207,0,196,0,9,1,1,0,13,0
,50 to 64,190,0,183,0,5,2,0,0,11,0
,65 to 74,88,0,84,0,4,0,0,0,0,0
,75 and over,53,0,51,0,2,0,0,0,2,2
S01001344,All people,751,6,700,4,32,5,2,2,56,14
,0 to 15,97,6,83,0,8,0,0,0,18,3
,16 to 19,31,0,31,0,0,0,0,0,0,3
,20 to 24,48,0,38,1,9,0,0,0,7,1
,25 to 34,63,0,51,2,7,1,0,2,14,5
,35 to 49,156,0,146,1,4,3,2,0,8,1
,50 to 64,194,0,190,0,3,1,0,0,7,1
,65 to 74,113,0,113,0,0,0,0,0,2,0
,75 and over,49,0,48,0,1,0,0,0,0,0
S01001345,All people,617,3,564,6,34,4,4,2,61,9
,0 to 15,74,3,69,0,2,0,0,0,19,1
,16 to 19,27,0,23,0,3,1,0,0,2,1
,20 to 24,46,0,37,2,6,1,0,0,8,1
,25 to 34,61,0,53,0,5,0,3,0,17,1
,35 to 49,108,0,100,1,6,0,1,0,5,1
,50 to 64,137,0,132,1,3,0,0,1,5,4
,65 to 74,88,0,80,2,4,2,0,0,1,0
,75 and over,76,0,70,0,5,0,0,1,4,0
S01001346,All people,709,11,640,0,35,17,3,3,32,21
,0 to 15,102,11,84,0,3,2,0,2,4,2
,16 to 19,24,0,19,0,2,3,0,0,1,1
,20 to 24,47,0,31,0,10,4,2,0,3,9
,25 to 34,78,0,63,0,10,4,1,0,14,8
,35 to 49,143,0,139,0,1,2,0,1,7,1
,50 to 64,160,0,154,0,4,2,0,0,1,0
,65 to 74,90,0,86,0,4,0,0,0,1,0
,75 and over,65,0,64,0,1,0,0,0,1,0
S01001347,All people,728,5,695,0,17,9,2,0,11,11
,0 to 15,123,5,117,0,1,0,0,0,3,1
,16 to 19,33,0,33,0,0,0,0,0,0,0
,20 to 24,41,0,35,0,1,5,0,0,1,2
,25 to 34,67,0,60,0,6,1,0,0,2,5
,35 to 49,150,0,144,0,3,1,2,0,4,1
,50 to 64,190,0,182,0,6,2,0,0,1,2
,65 to 74,69,0,69,0,0,0,0,0,0,0
,75 and over,55,0,55,0,0,0,0,0,0,0
S01001348,All people,655,8,582,0,41,19,2,3,53,7
,0 to 15,94,8,75,0,7,4,0,0,12,0
,16 to 19,22,0,19,0,3,0,0,0,2,0
,20 to 24,57,0,36,0,14,5,1,1,9,3
,25 to 34,77,0,67,0,5,4,0,1,14,1
,35 to 49,126,0,113,0,7,4,1,1,7,2
,50 to 64,131,0,126,0,3,2,0,0,1,1
,65 to 74,57,0,56,0,1,0,0,0,0,0
,75 and over,91,0,90,0,1,0,0,0,8,0
S01001349,All people,"1,301",16,929,32,86,220,15,3,57,122
,0 to 15,137,16,107,5,9,0,0,0,11,2
,16 to 19,35,0,32,0,3,0,0,0,3,4
,20 to 24,145,0,67,2,28,45,3,0,7,15
,25 to 34,272,0,136,5,26,98,5,2,10,48
,35 to 49,349,0,256,16,16,58,2,1,16,36
,50 to 64,206,0,182,2,4,15,3,0,6,16
,65 to 74,115,0,111,0,0,2,2,0,0,0
,75 and over,42,0,38,2,0,2,0,0,4,1
S01001350,All people,660,7,565,11,50,21,2,4,60,4
,0 to 15,134,7,104,2,10,10,0,1,17,0
,16 to 19,37,0,28,1,6,2,0,0,3,0
,20 to 24,41,0,28,5,7,1,0,0,10,4
,25 to 34,68,0,49,1,10,6,0,2,9,0
,35 to 49,139,0,124,2,10,2,0,1,12,0
,50 to 64,140,0,133,0,5,0,2,0,3,0
,65 to 74,59,0,58,0,1,0,0,0,5,0
,75 and over,42,0,41,0,1,0,0,0,1,0
S01001351,All people,449,4,394,2,31,15,2,1,27,12
,0 to 15,50,4,40,0,5,1,0,0,2,0
,16 to 19,20,0,16,0,3,1,0,0,4,1
,20 to 24,34,0,22,0,5,5,2,0,6,4
,25 to 34,61,0,48,1,8,4,0,0,8,5
,35 to 49,95,0,82,1,7,4,0,1,6,2
,50 to 64,123,0,121,0,2,0,0,0,0,0
,65 to 74,26,0,26,0,0,0,0,0,1,0
,75 and over,40,0,39,0,1,0,0,0,0,0
S01001352,All people,761,2,722,2,22,10,2,1,28,14
,0 to 15,71,2,69,0,0,0,0,0,6,1
,16 to 19,23,0,22,0,1,0,0,0,2,1
,20 to 24,35,0,25,0,7,2,1,0,3,2
,25 to 34,68,0,57,1,3,6,0,1,3,4
,35 to 49,149,0,145,0,3,1,0,0,5,2
,50 to 64,195,0,190,1,4,0,0,0,6,3
,65 to 74,127,0,123,0,3,1,0,0,0,1
,75 and over,93,0,91,0,1,0,1,0,3,0
S01001353,All people,"1,423",30,"1,264",4,84,32,5,4,29,24
,0 to 15,392,30,331,1,25,4,0,1,3,4
,16 to 19,70,0,64,1,5,0,0,0,2,8
,20 to 24,67,0,59,0,8,0,0,0,4,2
,25 to 34,198,0,159,0,23,12,1,3,6,4
,35 to 49,404,0,374,2,15,10,3,0,9,3
,50 to 64,226,0,212,0,8,5,1,0,2,2
,65 to 74,41,0,40,0,0,1,0,0,0,0
,75 and over,25,0,25,0,0,0,0,0,3,1
S01001354,All people,787,10,705,5,47,9,6,5,54,14
,0 to 15,124,10,100,0,10,2,2,0,12,3
,16 to 19,50,0,43,1,4,1,1,0,8,0
,20 to 24,36,0,25,2,6,1,0,2,3,0
,25 to 34,82,0,69,0,9,0,2,2,8,3
,35 to 49,198,0,182,1,11,4,0,0,16,2
,50 to 64,166,0,159,1,3,1,1,1,5,6
,65 to 74,76,0,73,0,3,0,0,0,2,0
,75 and over,55,0,54,0,1,0,0,0,0,0
S01001355,All people,756,7,705,1,17,13,5,8,36,13
,0 to 15,138,7,124,0,3,1,1,2,10,0
,16 to 19,45,0,42,0,0,3,0,0,1,2
,20 to 24,26,0,23,0,2,0,0,1,6,4
,25 to 34,60,0,47,0,6,4,2,1,6,3
,35 to 49,181,0,171,0,3,4,0,3,7,4
,50 to 64,158,0,152,1,2,1,1,1,2,0
,65 to 74,102,0,101,0,0,0,1,0,4,0
,75 and over,46,0,45,0,1,0,0,0,0,0
S01001356,All people,634,3,565,8,38,15,4,1,33,8
,0 to 15,61,3,44,2,10,2,0,0,7,0
,16 to 19,24,0,22,1,1,0,0,0,2,3
,20 to 24,39,0,30,0,8,0,1,0,4,0
,25 to 34,58,0,42,0,8,7,1,0,7,2
,35 to 49,121,0,102,3,10,3,2,1,7,0
,50 to 64,166,0,163,0,1,2,0,0,3,1
,65 to 74,81,0,81,0,0,0,0,0,1,1
,75 and over,84,0,81,2,0,1,0,0,2,1
S01001357,All people,703,4,614,8,57,14,4,2,70,21
,0 to 15,58,4,42,1,9,1,0,1,14,4
,16 to 19,14,0,10,0,3,1,0,0,0,0
,20 to 24,46,0,24,0,16,4,2,0,10,3
,25 to 34,104,0,88,1,10,4,1,0,16,4
,35 to 49,119,0,106,0,12,1,0,0,12,4
